name,times,rank
Bradley Efron,47,1
Leo A. Goodman,39,2
Willford I. King,26,3
Robert V. Hogg,25,4
Paul R. Rider,24,5
R. Dennis Cook,24,5
Jianqing Fan,24,5
W. Edwards Deming,23,6
Arnold Zellner,22,7
Des Raj,22,7
John E. Walsh,22,7
Max Halperin,21,8
Walter F. Willcox,20,9
Bruce M. Hill,19,10
Paul R. Rosenbaum,19,10
W. L. Crum,18,11
Irving H. Siegel,18,11
Raymond J. Carroll,17,12
Allan Birnbaum,16,13
Joseph Berkson M.D.,16,13
Howard L. Jones,16,13
S. James Press,16,13
Leslie Kish,15,14
J. N. K. Rao,15,14
Stephen M. Stigler,14,15
Henry Scheffé,14,15
Carl Snyder,14,15
Joseph Berkson,13,16
Nathan Keyfitz,13,16
Robert Ferber,13,16
George Casella,13,16
Xiaotong Shen,13,16
Joseph L. Gastwirth,12,17
Pranab Kumar Sen,12,17
B. K. Ghosh,12,17
David A. Harville,12,17
T. W. Anderson,12,17
D. G. Kabe,12,17
Lionel Weiss,12,17
W. G. Cochran,12,17
Gottfried E. Noether,12,17
Y. S. Leong,12,17
Dudley J. Cowden,12,17
Robert J. Myers,12,17
Simon Kuznets,12,17
Irving Fisher,12,17
Glen Meeden,12,17
Barry C. Arnold,12,17
Peter Hall,12,17
Sam Efromovich,12,17
Donald B. Rubin,11,18
Joseph B. Kadane,11,18
Colin R. Blyth,11,18
Arthur Cohen,11,18
Morris H. Hansen,11,18
L. J. Wei,11,18
John W. Pratt,11,18
W. Allen Wallis,11,18
Richard E. Quandt,11,18
Robert L. Winkler,11,18
R. L. Basmann,11,18
E. J. Gumbel,11,18
Holbrook Working,11,18
Faming Liang,11,18
Andrew Gelman,11,18
Paul R Rosenbaum,10,19
Ronald H. Randles,10,19
Alan E. Gelfand,10,19
William S. Cleveland,10,19
Stephen E. Fienberg,10,19
J. A. Hartigan,10,19
R. L. Anderson,10,19
Seymour Sudman,10,19
Stanley L. Warner,10,19
Gary G. Koch,10,19
S. Zacks,10,19
Frederic M. Lord,10,19
A. Ross Eckler,10,19
F. J. Anscombe,10,19
