c,5447
javascript,4370
linux,4342
java,4314
html,3454
mssql,3422
mysql,2975
jquery,2728
c++,2463
php,2408
c#,2386
excel,2158
word,2059
oracle,1942
asp.net,1867
sql,1679
erp,1639
powerpoint,1627
android,1601
ajax,1536
css,1489
asp,1454
python,1133
outlook,1059
windows,1024
vmware,900
windowsserver2008,872
windowsserver2012,836
windows7,801
tcp/ip,751
mvc,724
jsp,713
unix,700
xml,672
firewall,664
git,603
windowsxp,601
spring,565
dns,543
ui,537
visualstudio,504
visualstudio.net,501
js,490
pl/sql,477
vb,469
visualbasic.net,467
cisco,466
mes,464
dhtml,446
tcp,442
